Police Action,District,N,Number of Records,Period,Station,Breach Type,Country,Alert Level,Area
Prosecution,Canterbury,1,1,COVID-19,Hornby,Failing to Comply with a COVID-19 Direction/Prohibition/Restriction,New Zealand,2,Canterbury Metro Area
Written Warning,Auckland City,3,1,COVID-19,Auckland Central,Failing to Comply with a COVID-19 Direction/Prohibition/Restriction,New Zealand,2,Auckland Central Area
Written Warning,Canterbury,3,1,COVID-19,Hornby,Failing to Comply with a COVID-19 Direction/Prohibition/Restriction,New Zealand,2,Canterbury Metro Area
Prosecution,Canterbury,1,1,COVID-19,Hornby,Health Act Breach,New Zealand,2,Canterbury Metro Area
Prosecution,Wellington,1,1,COVID-19,Waitangirua,Health Act Breach,New Zealand,2,Kapiti-Mana Area
Verbal Warning,Auckland City,8,1,COVID-19,Auckland Central,Health Act Breach,New Zealand,2,Auckland Central Area
Verbal Warning,Auckland City,1,1,COVID-19,Mount Wellington,Health Act Breach,New Zealand,2,Auckland East Area
Verbal Warning,Counties/Manukau,2,1,COVID-19,Papakura,Health Act Breach,New Zealand,2,Counties Manukau South Area
Verbal Warning,Counties/Manukau,1,1,COVID-19,Auckland Airport,Health Act Breach,New Zealand,2,Counties Manukau West Area
Verbal Warning,Counties/Manukau,1,1,COVID-19,Mangere,Health Act Breach,New Zealand,2,Counties Manukau West Area
Verbal Warning,Waitemata,1,1,COVID-19,New Lynn,Health Act Breach,New Zealand,2,Waitemata West Area
Verbal Warning,Wellington,6,1,COVID-19,Wellington Central,Health Act Breach,New Zealand,2,Wellington Area
Written Warning,Auckland City,4,1,COVID-19,Auckland Central,Health Act Breach,New Zealand,2,Auckland Central Area
Written Warning,Canterbury,17,1,COVID-19,Hornby,Health Act Breach,New Zealand,2,Canterbury Metro Area
Written Warning,Canterbury,8,1,COVID-19,Papanui,Health Act Breach,New Zealand,2,Canterbury Metro Area
Prosecution,Bay Of Plenty,1,1,COVID-19,Papamoa,CDEM Breach,New Zealand,3,Western Bay Of Plenty Area
Prosecution,Bay Of Plenty,1,1,COVID-19,Tauranga South,CDEM Breach,New Zealand,3,Western Bay Of Plenty Area
