No_of_crime,Location,Offences,Year
4,Northland District,Homicide and related offences,1994
1114,Northland District,Acts intended to cause injury,1994
68,Northland District,Sexual assault and related offences,1994
19,Northland District,Dangerous or negligent acts endangering persons,1994
214,Northland District,"Abduction, harassment and other related offences against a person",1994
47,Northland District,"Robbery, extortion and related offences",1994
698,Northland District,"Unlawful entry with intent/burglary, break and enter",1994
1489,Northland District,Theft and related offences,1994
385,Northland District,"Fraud, deception and related offences",1994
1096,Northland District,Illicit drug offences,1994
272,Northland District,Prohibited and regulated weapons and explosives offences,1994
471,Northland District,Property damage and environmental pollution,1994
1006,Northland District,Public order offences,1994
361,Northland District,"Offences against justice procedures, government security and government operations",1994
14,Northland District,Miscellaneous offences,1994
11,Waitemata District,Homicide and related offences,1994
2039,Waitemata District,Acts intended to cause injury,1994
102,Waitemata District,Sexual assault and related offences,1994
40,Waitemata District,Dangerous or negligent acts endangering persons,1994
543,Waitemata District,"Abduction, harassment and other related offences against a person",1994
59,Waitemata District,"Robbery, extortion and related offences",1994
704,Waitemata District,"Unlawful entry with intent/burglary, break and enter",1994
2710,Waitemata District,Theft and related offences,1994
784,Waitemata District,"Fraud, deception and related offences",1994
1744,Waitemata District,Illicit drug offences,1994
379,Waitemata District,Prohibited and regulated weapons and explosives offences,1994
988,Waitemata District,Property damage and environmental pollution,1994
1810,Waitemata District,Public order offences,1994
482,Waitemata District,"Offences against justice procedures, government security and government operations",1994
59,Waitemata District,Miscellaneous offences,1994
13,Auckland District,Homicide and related offences,1994
2783,Auckland District,Acts intended to cause injury,1994
123,Auckland District,Sexual assault and related offences,1994
39,Auckland District,Dangerous or negligent acts endangering persons,1994
463,Auckland District,"Abduction, harassment and other related offences against a person",1994
135,Auckland District,"Robbery, extortion and related offences",1994
1170,Auckland District,"Unlawful entry with intent/burglary, break and enter",1994
1109,Auckland District,"Offences against justice procedures, government security and government operations",1994
11,Counties/Manukau District,Homicide and related offences,1994
137,Counties/Manukau District,Sexual assault and related offences,1994
450,Counties/Manukau District,"Abduction, harassment and other related offences against a person",1994
1450,Counties/Manukau District,"Unlawful entry with intent/burglary, break and enter",1994
927,Counties/Manukau District,"Fraud, deception and related offences",1994
1541,Counties/Manukau District,Illicit drug offences,1994
1153,Counties/Manukau District,Property damage and environmental pollution,1994
1574,Counties/Manukau District,Public order offences,1994
101,Counties/Manukau District,Miscellaneous offences,1994
12,Waikato District,Homicide and related offences,1994
105,Waikato District,Sexual assault and related offences,1994
42,Waikato District,Dangerous or negligent acts endangering persons,1994
81,Waikato District,"Robbery, extortion and related offences",1994
1314,Waikato District,"Unlawful entry with intent/burglary, break and enter",1994
1113,Waikato District,"Fraud, deception and related offences",1994
2417,Waikato District,Illicit drug offences,1994
464,Waikato District,Prohibited and regulated weapons and explosives offences,1994
2561,Waikato District,Public order offences,1994
606,Waikato District,"Offences against justice procedures, government security and government operations",1994
570,Waikato District,Miscellaneous offences,1994
2264,Bay Of Plenty District,Acts intended to cause injury,1994
171,Bay Of Plenty District,Sexual assault and related offences,1994
46,Bay Of Plenty District,Dangerous or negligent acts endangering persons,1994
83,Bay Of Plenty District,"Robbery, extortion and related offences",1994
1554,Bay Of Plenty District,"Unlawful entry with intent/burglary, break and enter",1994
841,Bay Of Plenty District,"Fraud, deception and related offences",1994
499,Bay Of Plenty District,Prohibited and regulated weapons and explosives offences,1994
1202,Bay Of Plenty District,Property damage and environmental pollution,1994
894,Bay Of Plenty District,"Offences against justice procedures, government security and government operations",1994
154,Bay Of Plenty District,Miscellaneous offences,1994
5,Hawkes Bay Area,Homicide and related offences,1994
995,Hawkes Bay Area,Acts intended to cause injury,1994
46,Hawkes Bay Area,Dangerous or negligent acts endangering persons,1994
184,Hawkes Bay Area,"Abduction, harassment and other related offences against a person",1994
45,Hawkes Bay Area,"Robbery, extortion and related offences",1994
509,Hawkes Bay Area,"Unlawful entry with intent/burglary, break and enter",1994
828,Hawkes Bay Area,"Fraud, deception and related offences",1994
956,Hawkes Bay Area,Illicit drug offences,1994
234,Hawkes Bay Area,Prohibited and regulated weapons and explosives offences,1994
938,Hawkes Bay Area,Property damage and environmental pollution,1994
501,Hawkes Bay Area,"Offences against justice procedures, government security and government operations",1994
26,Hawkes Bay Area,Miscellaneous offences,1994
7,Tairawhiti Area,Homicide and related offences,1994
575,Tairawhiti Area,Acts intended to cause injury,1994
28,Tairawhiti Area,Sexual assault and related offences,1994
14,Tairawhiti Area,Dangerous or negligent acts endangering persons,1994
83,Tairawhiti Area,"Abduction, harassment and other related offences against a person",1994
25,Tairawhiti Area,"Robbery, extortion and related offences",1994
257,Tairawhiti Area,"Unlawful entry with intent/burglary, break and enter",1994
794,Tairawhiti Area,Theft and related offences,1994
203,Tairawhiti Area,"Fraud, deception and related offences",1994
613,Tairawhiti Area,Illicit drug offences,1994
141,Tairawhiti Area,Prohibited and regulated weapons and explosives offences,1994
297,Tairawhiti Area,Property damage and environmental pollution,1994
456,Tairawhiti Area,Public order offences,1994
174,Tairawhiti Area,"Offences against justice procedures, government security and government operations",1994
26,Tairawhiti Area,Miscellaneous offences,1994
15,Manawatu Area,Homicide and related offences,1994
1091,Manawatu Area,Acts intended to cause injury,1994
75,Manawatu Area,Sexual assault and related offences,1994
23,Manawatu Area,Dangerous or negligent acts endangering persons,1994
319,Manawatu Area,"Abduction, harassment and other related offences against a person",1994
56,Manawatu Area,"Robbery, extortion and related offences",1994
629,Manawatu Area,"Unlawful entry with intent/burglary, break and enter",1994
1977,Manawatu Area,Theft and related offences,1994
1015,Manawatu Area,"Fraud, deception and related offences",1994
1078,Manawatu Area,Illicit drug offences,1994
286,Manawatu Area,Prohibited and regulated weapons and explosives offences,1994
675,Manawatu Area,Property damage and environmental pollution,1994
1049,Manawatu Area,Public order offences,1994
429,Manawatu Area,"Offences against justice procedures, government security and government operations",1994
46,Manawatu Area,Miscellaneous offences,1994
2,Taranaki Area,Homicide and related offences,1994
642,Taranaki Area,Acts intended to cause injury,1994
50,Taranaki Area,Sexual assault and related offences,1994
71,Taranaki Area,Dangerous or negligent acts endangering persons,1994
131,Taranaki Area,"Abduction, harassment and other related offences against a person",1994
21,Taranaki Area,"Robbery, extortion and related offences",1994
